Index,T (C),P (kbars),log(10) f O2,liq mass (gm),liq rho (gm/cc),wt% SiO2,wt% TiO2,wt% Al2O3,wt% Fe2O3,wt% Cr2O3,wt% FeO,wt% MnO,wt% MgO,wt% NiO,wt% CoO,wt% CaO,wt% Na2O,wt% K2O,wt% P2O5,wt% H2O,wt% CO2,wt% SO3,wt% Cl2O-1,wt% F2O-1,liq G (kJ),liq H (kJ),liq S (J/K),liq V (cc),liq Cp (J/K),activity SiO2,activity TiO2,activity Al2O3,activity Fe2O3,activity MgCr2O4,activity Fe2SiO4,activity MnSi0.5O2,activity Mg2SiO4,activity NiSi0.5O2,activity CoSi0.5O2,activity CaSiO3,activity Na2SiO3,activity KAlSiO4,activity Ca3(PO4)2,activity CO2,activity SO3,activity Cl2O-1,activity F2O-1,activity H2O,liq vis (log 10 poise),sol mass (gm),sol rho (gm/cc),sol G (kJ),sol H (kJ),sol S (J/K),sol V (cc),sol Cp (J/K),sys G (kJ),sys H (kJ),sys S (J/K),sys V (cc),sys Cp (J/K),sys dVdT (cc/K),sys dVdP (cc/bar),sys alpha (1/K),sys beta (1/bar),liq dVdT (cc/K),liq dVdP (cc/bar),liq alpha (1/K),liq beta (1/bar)
1,1200.00,1.000,-8.227,8.7785227083690e+01,2.7339,48.4906,1.7065,16.7022,1.5605,0.0464,8.1589,0.0243,8.5654,0.0137,0.0000,11.1844,2.2541,0.0285,0.0114,0.1139,1.1391,0.0000,0.0000,0.0000,-1.4057328592028e+03,-1.0623615715827e+03,2.3308643900497e+02,3.2109502854648e+01,1.2851616947556e+02,4.2550626e-01,3.1378501e-02,1.3871045e-02,2.9063065e-03,1.6979449e-03,7.3618306e-02,4.3768759e-04,6.1952758e-02,6.1707058e-04,0.0000000e+00,1.1198638e-01,1.4898189e-04,4.2083278e-04,4.6598674e-03,3.1282028e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,2.9254443e-04,2.0844,1.1113865238778e+01,3.2244,-1.7693682539047e+02,-1.3720622059839e+02,2.6969829815073e+01,3.4468158333026e+00,1.3806004911243e+01,-1.5826696845933e+03,-1.1995677921811e+03, 2.6005626882005e+02, 3.5556318687950e+01, 1.4232217438681e+02, 2.4247629638780e-03,-1.9229618100929e-04, 6.8194994683173e-05, 5.4082140138557e-06, 2.2706237154986e-03,-1.8953222757749e-04, 7.0715006886815e-05, 5.9026833406751e-06
2,1190.00,1.000,-8.340,7.9058755703732e+01,2.7419,48.7298,1.8948,15.9047,1.6633,0.0519,8.6256,0.0259,8.2212,0.0110,0.0000,11.1450,2.2913,0.0314,0.0126,0.1265,1.2649,0.0000,0.0000,0.0000,-1.2559127361902e+03,-9.5029421395721e+02,2.0887709546731e+02,2.8833236527985e+01,1.1503299155474e+02,4.3483787e-01,3.4932016e-02,1.2378019e-02,2.8835611e-03,1.8187462e-03,7.9806108e-02,4.6646577e-04,5.8319567e-02,4.8433255e-04,0.0000000e+00,1.1246484e-01,1.4538010e-04,4.4408692e-04,5.2162524e-03,3.5305389e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,3.6349410e-04,2.1162,8.7269382573182e+00,2.8118,-1.4750066849138e+02,-1.1642702126243e+02,2.1237499387591e+01,3.1036397430119e+00,1.0765577476396e+01,-1.5799863379047e+03,-1.2039916975704e+03, 2.5697614074722e+02, 3.5380235174828e+01, 1.3958447596117e+02, 2.3002521611598e-03,-1.7891920095592e-04, 6.5015174427002e-05, 5.0570382042913e-06, 2.0574767397272e-03,-1.7229961085967e-04, 7.1357814365733e-05, 5.9757291101346e-06
3,1180.00,1.000,-8.454,7.1918711894989e+01,2.7500,48.9495,2.0828,15.1354,1.7624,0.0557,9.0589,0.0273,7.8929,0.0090,0.0000,11.1335,2.3151,0.0342,0.0139,0.1390,1.3905,0.0000,0.0000,0.0000,-1.1336209403254e+03,-8.5889112248297e+02,1.8905812740768e+02,2.6152419073449e+01,1.0402910621068e+02,4.4375810e-01,3.8373845e-02,1.1045903e-02,2.8535635e-03,1.8626985e-03,8.5856639e-02,4.9257509e-04,5.4850712e-02,3.8636954e-04,0.0000000e+00,1.1304377e-01,1.4115636e-04,4.6438778e-04,5.7676742e-03,3.9361089e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,4.4299749e-04,2.1454,7.1396219281268e+00,2.8146,-1.2020368657524e+02,-9.5032706363496e+01,1.7321666869727e+01,2.5366723109234e+00,8.7895481851150e+00,-1.5773468553691e+03,-1.2078102963214e+03, 2.5430035374719e+02, 3.5232176188105e+01, 1.3734171548405e+02, 2.1980099559655e-03,-1.6787588099218e-04, 6.2386437449402e-05, 4.7648456370076e-06, 1.8829861008322e-03,-1.5808583403809e-04, 7.2000456078034e-05, 6.0447881931728e-06
4,1170.00,1.000,-8.570,6.5942244100261e+01,2.7580,49.1526,2.2708,14.3968,1.8577,0.0570,9.4601,0.0286,7.5768,0.0074,0.0000,11.1438,2.3279,0.0371,0.0152,0.1516,1.5165,0.0000,0.0000,0.0000,-1.0315606372179e+03,-7.8266673966319e+02,1.7246571566001e+02,2.3909249174343e+01,9.4842810736059e+01,4.5231479e-01,4.1705615e-02,9.8597842e-03,2.8182654e-03,1.8188251e-03,9.1788406e-02,5.1629389e-04,5.1535917e-02,3.1281292e-04,0.0000000e+00,1.1367123e-01,1.3643985e-04,4.8195378e-04,6.3158646e-03,4.3445801e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,5.3164472e-04,2.1728,5.9785782998536e+00,2.8201,-1.0020249430004e+02,-7.9340647110450e+01,1.4455771880670e+01,2.1199600597367e+00,7.3424913516145e+00,-1.5747452787844e+03,-1.2111871455712e+03, 2.5191985116806e+02, 3.5103897071467e+01, 1.3545893153955e+02, 2.1120596910906e-03,-1.5856014035449e-04, 6.0165960684955e-05, 4.5168814172308e-06, 1.7367754209356e-03,-1.4610989300742e-04, 7.2640316233743e-05, 6.1110197121626e-06
5,1160.00,1.000,-8.688,5.7915135922643e+01,2.7698,48.9788,2.5516,14.1018,1.9582,0.0504,10.0630,0.0324,7.1421,0.0082,0.0000,10.7192,2.4357,0.0420,0.0173,0.1727,1.7267,0.0000,0.0000,0.0000,-8.9747789784908e+02,-6.8143306270855e+02,1.5074823650039e+02,2.0909160718784e+01,8.2691195813325e+01,4.5734511e-01,4.7588995e-02,9.3034508e-03,2.6557401e-03,1.4766399e-03,1.0134754e-01,5.7218581e-04,4.7990527e-02,3.3522977e-04,0.0000000e+00,1.0841859e-01,1.3226927e-04,5.1159197e-04,7.2819847e-03,4.9584219e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,6.8193461e-04,2.1700,8.0337281706636e+00,2.9613,-1.3246755571119e+02,-1.0503208526376e+02,1.9143474477498e+01,2.7128842944785e+00,9.7384761466260e+00,-1.5722102805540e+03,-1.2152915939149e+03, 2.4904489176928e+02, 3.4810339081560e+01, 1.3299688846080e+02, 2.0102396739903e-03,-1.4624818956299e-04, 5.7748350835662e-05, 4.2012859805914e-06, 1.5466114430054e-03,-1.3075360474018e-04, 7.3968126401936e-05, 6.2534123917617e-06
6,1150.00,1.000,-8.807,5.0783924245405e+01,2.7836,48.7136,2.8751,13.7338,2.0660,0.0421,10.6427,0.0370,6.6597,0.0093,0.0000,10.4482,2.5393,0.0475,0.0197,0.1969,1.9691,0.0000,0.0000,0.0000,-7.7901330253302e+02,-5.9184375580053e+02,1.3151779273618e+02,1.8243882767269e+01,7.1959288999481e+01,4.6037562e-01,5.3673506e-02,8.6792690e-03,2.5021808e-03,1.1255271e-03,1.1116320e-01,6.3471467e-04,4.3899177e-02,3.6955226e-04,0.0000000e+00,1.0502584e-01,1.3091290e-04,5.4738660e-04,8.3150736e-03,5.5953870e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,8.7741220e-04,2.1518,7.1401783741158e+00,2.9577,-1.1710062982200e+02,-9.2897772512756e+01,1.7006539935525e+01,2.4140880704170e+00,8.6626228366107e+00,-1.5697047865312e+03,-1.2189765118937e+03, 2.4644505121557e+02, 3.4551240247168e+01, 1.3086702715680e+02, 1.9199907626047e-03,-1.3492075747025e-04, 5.5569373164891e-05, 3.9049468703606e-06, 1.3792928637812e-03,-1.1668097251554e-04, 7.5603032609689e-05, 6.3956216998322e-06
7,1140.00,1.000,-8.928,4.4962158670056e+01,2.7975,48.4503,3.2047,13.3661,2.1673,0.0307,11.1773,0.0417,6.1960,0.0106,0.0000,10.2001,2.6331,0.0534,0.0222,0.2224,2.2241,0.0000,0.0000,0.0000,-6.8281622877815e+02,-5.1911856573125e+02,1.1583884445877e+02,1.6072490317055e+01,6.3230930827692e+01,4.6336656e-01,5.9739116e-02,8.0842966e-03,2.3498548e-03,7.4783396e-04,1.2127100e-01,6.9545627e-04,4.0059021e-02,4.0219635e-04,0.0000000e+00,1.0175604e-01,1.2907323e-04,5.7901121e-04,9.3509609e-03,6.2190760e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,1.1068773e-03,2.1311,5.8300743070046e+00,2.9645,-9.5013932104774e+01,-7.5466430198475e+01,1.3832573970420e+01,1.9666250542924e+00,7.0482146483225e+00,-1.5672387093302e+03,-1.2221989308493e+03, 2.4416359090046e+02, 3.4338253216395e+01, 1.2911975774316e+02, 1.8449838156428e-03,-1.2560693148782e-04, 5.3729693354404e-05, 3.6579301426972e-06, 1.2420340798076e-03,-1.0511464624186e-04, 7.7277015279308e-05, 6.5400348152845e-06
8,1130.00,1.000,-9.051,4.0013310298105e+01,2.8108,48.2189,3.5364,13.0020,2.2587,0.0163,11.6410,0.0469,5.7410,0.0119,0.0000,9.9714,2.7219,0.0596,0.0250,0.2499,2.4992,0.0000,0.0000,0.0000,-6.0174629312487e+02,-4.5786053366887e+02,1.0254481663115e+02,1.4235633260045e+01,5.5844421595094e+01,4.6653472e-01,6.5726676e-02,7.5115380e-03,2.2055576e-03,3.6017806e-04,1.3168301e-01,7.5608312e-04,3.6427999e-02,4.3432394e-04,0.0000000e+00,9.8605180e-02,1.2677228e-04,6.0608100e-04,1.0395030e-02,6.8219886e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,1.3781980e-03,2.1101,4.9584994229016e+00,2.9789,-8.0064035264960e+01,-6.3632356731358e+01,1.1710564468233e+01,1.6645351591583e+00,5.9641575167324e+00,-1.5648175541632e+03,-1.2251244044169e+03, 2.4209325428236e+02, 3.4157085931178e+01, 1.2762305267537e+02, 1.7791680596952e-03,-1.1766991054279e-04, 5.2087817540406e-05, 3.4449633900232e-06, 1.1239483976305e-03,-9.5264221233941e-05, 7.8953171741581e-05, 6.6919552852854e-06
9,1120.00,1.000,-9.175,3.5477503330894e+01,2.8212,48.1316,3.8468,12.6561,2.3258,0.0030,11.9325,0.0529,5.2707,0.0134,0.0000,9.7530,2.8186,0.0668,0.0282,0.2819,2.8187,0.0000,0.0000,0.0000,-5.2881800790243e+02,-4.0283136546846e+02,9.0432934309996e+01,1.2575148014957e+01,4.9118161567477e+01,4.7059094e-01,7.1413615e-02,6.9440316e-03,2.0869422e-03,6.1376858e-05,1.4221100e-01,8.2309293e-04,3.2939774e-02,4.7002526e-04,0.0000000e+00,9.5571813e-02,1.2371026e-04,6.2628845e-04,1.1492035e-02,7.3901256e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,1.7099175e-03,2.0983,4.5485065033901e+00,3.0170,-7.2106387170496e+01,-5.7244069371150e+01,1.0668138965184e+01,1.5076464402364e+00,5.4174120807513e+00,-1.5624701006841e+03,-1.2279486721862e+03, 2.4011874421121e+02, 3.3994873969730e+01, 1.2623307093946e+02, 1.7143175090096e-03,-1.1049675846927e-04, 5.0428706120108e-05, 3.2503947085569e-06, 1.0119214709949e-03,-8.6370963084363e-05, 8.0469945148265e-05, 6.8683854044209e-06
10,1110.00,1.000,-9.302,2.9205597089594e+01,2.8037,49.4018,3.8855,12.4716,2.2041,0.0000,10.9664,0.0643,4.5906,0.0163,0.0000,9.4713,3.0470,0.0805,0.0342,0.3424,3.4240,0.0000,0.0000,0.0000,-4.3502105597065e+02,-3.3258311414069e+02,7.4061339572686e+01,1.0416735701154e+01,3.9968395030827e+01,4.8282867e-01,7.4802363e-02,6.2326760e-03,2.1430114e-03,1.2299132e-07,1.4900573e-01,9.6799499e-04,2.9268449e-02,5.5396187e-04,0.0000000e+00,9.2675571e-02,1.1586494e-04,6.1414820e-04,1.3184826e-02,7.8469011e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,2.2515654e-03,2.1936,6.3045450924945e+00,3.1843,-9.3446372917469e+01,-7.3379750367775e+01,1.4507914940314e+01,1.9798991327738e+00,7.2508752185979e+00,-1.5604956203247e+03,-1.2317405001128e+03, 2.3768580429591e+02, 3.3806503998324e+01, 1.2424591719474e+02, 1.5994860419846e-03,-1.0158616824890e-04, 4.7312968003550e-05, 3.0049297097959e-06, 8.3365450537607e-04,-7.5356300069426e-05, 8.0030302130417e-05, 7.2341568636591e-06
11,1100.00,1.000,-9.430,2.3295916847841e+01,2.7707,51.5824,3.7618,12.2121,1.9356,0.0000,9.1816,0.0806,3.8847,0.0204,0.0000,9.1591,3.3169,0.1000,0.0429,0.4293,4.2926,0.0000,0.0000,0.0000,-3.4832525828571e+02,-2.6768150311567e+02,5.8729020988263e+01,8.4078613963301e+00,3.1423714167308e+01,5.0259080e-01,7.6593653e-02,5.4340901e-03,2.2266104e-03,0.0000000e+00,1.5011523e-01,1.1739718e-03,2.5882652e-02,6.7024128e-04,0.0000000e+00,8.9956471e-02,1.0550620e-04,5.8068731e-04,1.4990113e-02,8.1013983e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,3.0256873e-03,2.3240,5.9446758994413e+00,3.2044,-8.6549447217106e+01,-6.7884065827498e+01,1.3593111742787e+01,1.8551597596254e+00,6.7691888918273e+00,-1.5585964643779e+03,-1.2354498633291e+03, 2.3533233881869e+02, 3.3642273713020e+01, 1.2237291904555e+02, 1.4846447029774e-03,-9.3226592310011e-05, 4.4130331845045e-05, 2.7711144943789e-06, 6.6074043178109e-04,-6.5001181512944e-05, 7.8586028079565e-05, 7.7310006015699e-06
12,1090.00,1.000,-9.560,1.9406012368573e+01,2.7499,53.3136,3.7430,11.7307,1.7119,0.0000,7.8082,0.0967,3.3487,0.0245,0.0000,8.8998,3.4840,0.1191,0.0515,0.5153,5.1530,0.0000,0.0000,0.0000,-2.9020904668995e+02,-2.2397995393587e+02,4.8585330120738e+01,7.0568932225046e+00,2.5814554039705e+01,5.2230344e-01,7.8988246e-02,4.7202494e-03,2.1800006e-03,0.0000000e+00,1.5019006e-01,1.3537653e-03,2.3021504e-02,7.6267953e-04,0.0000000e+00,8.7355525e-02,9.6595104e-05,5.5244108e-04,1.6205698e-02,8.2186154e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,3.8780484e-03,2.3763,3.9127532641744e+00,3.1300,-5.7905242835683e+01,-4.5682382379517e+01,8.9666290989004e+00,1.2500697897233e+00,4.4875517779593e+00,-1.5565008227743e+03,-1.2382308864100e+03, 2.3348122830524e+02, 3.3530292652420e+01, 1.2114910893656e+02, 1.4118761548111e-03,-8.7363174533667e-05, 4.2107480821799e-05, 2.6054999113574e-06, 5.5089495114827e-04,-5.7708220802440e-05, 7.8064799023946e-05, 8.1775675191468e-06
13,1080.00,1.000,-9.692,1.6622806711377e+01,2.7377,54.7155,3.7993,11.1096,1.5227,0.0000,6.7210,0.1129,2.9190,0.0286,0.0000,8.6851,3.5707,0.1380,0.0602,0.6016,6.0158,0.0000,0.0000,0.0000,-2.4796864955964e+02,-1.9208769643632e+02,4.1296939085331e+01,6.0718471339899e+00,2.1810554251249e+01,5.4238389e-01,8.1861195e-02,4.0824257e-03,2.0585032e-03,0.0000000e+00,1.4990874e-01,1.5081760e-03,2.0507978e-02,8.3316676e-04,0.0000000e+00,8.4842383e-02,8.8406131e-05,5.2674311e-04,1.6944601e-02,8.2261994e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,4.8177660e-03,2.3685,2.8001458292351e+00,3.0685,-4.2024402517763e+01,-3.3327369329648e+01,6.4272498896016e+00,9.1255528637766e-01,3.2314275963084e+00,-1.5543140797749e+03,-1.2405123787087e+03, 2.3190459377463e+02, 3.3446354123939e+01, 1.2026983247976e+02, 1.3613897904829e-03,-8.2933242011779e-05, 4.0703682842026e-05, 2.4795899040135e-06, 4.7472467505652e-04,-5.2181552473651e-05, 7.8184556458781e-05, 8.5940161736848e-06
14,1070.00,1.000,-9.826,1.4508141186068e+01,2.7316,55.8780,3.9119,10.3943,1.3584,0.0000,5.8299,0.1294,2.5588,0.0327,0.0000,8.5065,3.5922,0.1570,0.0689,0.6893,6.8927,0.0000,0.0000,0.0000,-2.1545726589597e+02,-1.6745191432271e+02,3.5740871513427e+01,5.3111993772591e+00,1.8775005182120e+01,5.6332771e-01,8.5105671e-02,3.5113392e-03,1.8977587e-03,0.0000000e+00,1.4950525e-01,1.6392988e-03,1.8246197e-02,8.8449761e-04,0.0000000e+00,8.2412257e-02,8.0610308e-05,5.0212375e-04,1.7299122e-02,8.1420121e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,5.8579750e-03,2.3129,2.1284969865159e+00,3.0185,-3.2311868709457e+01,-2.5744081211013e+01,4.8898391828496e+00,7.0516126368756e-01,2.4686271028345e+00,-1.5520862564232e+03,-1.2424989947559e+03, 2.3049343831093e+02, 3.3379163482306e+01, 1.1959222943457e+02, 1.3238812567620e-03,-7.9407898857060e-05, 3.9661906370537e-05, 2.3789661145689e-06, 4.1837375112681e-04,-4.7773689984365e-05, 7.8771991297890e-05, 8.9948967438348e-06
15,1060.00,1.000,-9.962,1.2841326990900e+01,2.7304,56.8508,4.0700,9.6155,1.2137,0.0000,5.0839,0.1462,2.2474,0.0370,0.0000,8.3571,3.5583,0.1762,0.0779,0.7787,7.7874,0.0000,0.0000,0.0000,-1.8955327097291e+02,-1.4775971923661e+02,3.1349474354952e+01,4.7031425115474e+00,1.6387243009443e+01,5.8546772e-01,8.8653072e-02,3.0015582e-03,1.7199814e-03,0.0000000e+00,1.4909797e-01,1.7482447e-03,1.6183702e-02,9.1900249e-04,0.0000000e+00,8.0064947e-02,7.3096277e-05,4.7801266e-04,1.7344422e-02,7.9829171e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,7.0068865e-03,2.2182,1.6788626831201e+00,2.9774,-2.5727340911144e+01,-2.0584513793848e+01,3.8576507649524e+00,5.6386830062652e-01,1.9549969153167e+00,-1.5498400629241e+03,-1.2442936083456e+03, 2.2919135474520e+02, 3.3323081725517e+01, 1.1904534811848e+02, 1.2947513646544e-03,-7.6515728960600e-05, 3.8854490569608e-05, 2.2961780543247e-06, 3.7496670809082e-04,-4.4151774687452e-05, 7.9726843736964e-05, 9.3877178033725e-06
16,1050.00,1.000,-10.099,1.1499321046973e+01,2.7330,57.6651,4.2649,8.8001,1.0852,0.0000,4.4515,0.1632,1.9726,0.0413,0.0000,8.2299,3.4779,0.1956,0.0870,0.8696,8.6962,0.0000,0.0000,0.0000,-1.6850800102412e+02,-1.3171765257983e+02,2.7805122959820e+01,4.2075457814129e+00,1.4468389373124e+01,6.0897201e-01,9.2440744e-02,2.5500576e-03,1.5397726e-03,0.0000000e+00,1.4871776e-01,1.8359907e-03,1.4293979e-02,9.3907971e-04,0.0000000e+00,7.7797566e-02,6.5854836e-05,4.5428088e-04,1.7153037e-02,7.7679169e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,8.2648999e-03,2.0923,1.3529830857381e+00,2.9441,-2.0892542130502e+01,-1.6781034920328e+01,3.1073628917162e+00,4.5956336750217e-01,1.5804611904669e+00,-1.5475873105048e+03,-1.2459536047945e+03, 2.2796637245233e+02, 3.3275011444120e+01, 1.1858979343954e+02, 1.2714483227000e-03,-7.4105132491141e-05, 3.8210304595545e-05, 2.2270505485953e-06, 3.4069583929563e-04,-4.1129781513647e-05, 8.0972580453116e-05, 9.7752427781869e-06
17,1040.00,1.000,-10.239,1.0407869143032e+01,2.7388,58.3433,4.4876,7.9755,0
